symbol,n_docs,n_snippets,market_cap_category,qrs,qrs_mean_boot,qrs_ci_lo,qrs_ci_hi,beta,beta_mean_boot,beta_ci_lo,beta_ci_hi,reports_score,news_score,other_score,qrs_unweighted
META,3409,3409,large,539.3651077742315,531.1864515128353,482.8301164207731,565.8250384309637,6.292245036596282,6.276993900708897,6.181733845971385,6.340050681913107,568.3732760008425,278.2915937347338,0.0,846.6648697355763
WELL,1616,1616,large,484.3662445435301,483.14122943189057,453.0041115024535,510.2908425958301,6.184903749348893,6.182376660499239,6.118106254173147,6.236938591884162,524.0435019340366,127.27092802897096,0.0,651.3144299630076
AVGO,1108,1108,large,303.04302651701494,305.9523395218226,283.05494047956523,326.27654309156674,5.71716922598659,5.726692489678056,5.64916767184454,5.790805511024314,327.44065478257835,83.46437212694437,0.0,410.9050269095227
APP,1833,1833,large,282.16325157199987,281.4265440352786,241.11969317965955,315.60411665749973,5.64602359200152,5.643418495661087,5.489432203798413,5.757652150070841,292.3747097719461,190.26012777248397,0.0,482.63483754443007
NVDA,1817,1817,large,262.11338690893723,262.0776486293637,233.38397509379408,303.1427612690083,5.57258506819971,5.572449230539185,5.45696068972501,5.717497200611747,279.18833346664906,108.43886788953097,0.0,387.62720135618
MSFT,593,593,large,204.12443894416094,200.01238774827897,177.9586803035587,221.23597152186605,5.323616814216561,5.303366536748442,5.187154942900989,5.403739752140276,226.16511322185397,5.7583704449236395,0.0,231.9234836667776
MU,525,525,large,163.25340640188196,166.32889517261586,144.5607604019905,186.17138518769434,5.101410396278324,5.119961307799068,4.980593596706616,5.232024695456342,179.19922897033393,19.741003285814077,0.0,198.94023225614802
GE,406,406,large,117.90895047761498,117.94436313705023,94.55790068148497,136.09195546007808,4.7783580782194255,4.778655847118742,4.559732353625724,4.920651908406755,129.04985740035772,17.64078817293048,0.0,146.6906455732882
VRT,178,178,mid,37.43111168282107,39.01173384862331,30.750916557377668,46.365914977749334,3.6488673316322378,3.6891727573119306,3.457921592870932,3.8579028767330055,52.773573042824864,2.4480527642183008,0.0,55.22162580704317
LRCX,332,332,large,29.603227008227257,27.933679249553943,14.64912144546979,42.41965256496052,3.421105461183258,3.3650062885564713,2.750414777740722,3.770912162689908,30.254374315962195,23.74290123861283,0.22194404341280463,54.21921959798783
WLDN,255,255,small,26.893279270501807,26.60496664252536,22.52276389181125,32.214974276246735,3.328385773447598,3.3179957073500344,3.157968628533325,3.503000806654967,47.06784068979323,10.477427079807967,1.0806540083140135,58.62592177791521
PANW,362,362,large,18.56187340687029,18.563100673336848,9.765745037425077,25.77867276865011,2.9735824374676607,2.973645173175265,2.376369337657435,3.2876057784915504,19.085553131997585,13.848755880724639,0.517602551355958,33.45191156407819
ARGX,192,192,mid,17.86780223125592,17.708589538163196,13.932881575754378,21.68082119195489,2.9374568836655723,2.928982751990775,2.7035655986716494,3.1215196859622183,18.43633839674294,23.673266024049372,2.277121487259865,44.38672590805218
CCJ,214,214,mid,17.6876414572075,18.060707466158394,12.71701960148895,24.02279600310045,2.9278624207387107,2.9476290153839213,2.6186373684876636,3.2197872495185575,20.477697126567364,16.766267343051734,0.0,37.243964469619094
CELH,158,158,mid,17.164013151414693,16.255730047543842,9.858758177070875,21.518467024441804,2.899442337272807,2.8481442649881217,2.3849719596315047,3.1143357292156852,26.9692989513278,-7.089463628269732,-2.9660338886082176,16.91380143444985
